10298 		602   		1983  		4357  		5664  		
299   		10088 		1731  		506   		164   		
604   		390   		10159 		548   		932   		
1253  		9987  		4715  		8786  		5667  		
477   		591   		148   		1947  		1043  		
778   		524   		464   		3449  		3964  		
3473  		286   		130989		8425  		477   		
339   		398   		15095 		2271  		550   		
2067  		2276  		656   		6682  		766214		
11650 		307   		5045  		5153  		7297  		
370   		2514  		485   		5350  		515   		
2757  		954   		805   		1142  		3784  		
1932  		17433 		1581  		659   		3117  		
5521  		1571  		951   		3519  		8399  		
1168  		1382  		1202  		878   		712   		
3206  		1603  		3456  		4481  		218   		
2230  		1569  		21782 		1461  		413   		
7938  		596   		12734 		605   		1018  		
219   		2539  		10569 		13074 		681   		
44785 		10980 		749   		9998  		706   		
10826 		1118  		1385  		707   		1413  		
2587  		1090  		33871 		2629  		4196  		
8547  		4584  		2717  		8653  		3399  		
3437  		2079  		722   		5348  		8964  		
378   		4072  		3304  		3802  		561   		
825   		316   		410   		403   		640   		
639   		255963		893   		959   		24103 		
4094  		22191 		531   		1107  		1750  		
3372  		3998  		283   		964   		1093  		
272   		339   		2030  		355   		1166  		
636   		2383  		1238  		1588  		1069  		
2913  		923   		854   		909   		119   		
428   		814   		10621 		5214  		418   		
235   		26771 		408   		3078  		144   		
63292 		1196  		556   		778   		4520  		
513   		1943  		410   		672   		11956 		
841   		528   		343   		919   		3704  		
7478  		15538 		2894  		39134 		2386  		
791   		407   		4826  		6730  		34933 		
2818  		1485  		7253  		417   		1607  		
351   		723   		492   		504   		2089  		
1589  		216   		1443  		872   		4999  		
770   		1307  		1532  		1750  		602   		
504   		1693  		2824  		6179  		1393  		
263   		9131  		3535  		343   		49912 		
690   		8909  		8069  		845   		12812 		
1638  		1129  		16122 		15877 		1830  		
1393  		6613  		3950  		241   		9883  		
4293  		5811  		5692  		1312  		1899  		
1569  		709   		264   		41497 		973   		
2013  		2972  		502   		4132  		1038  		
1456  		39829 		21070 		3641  		16188 		
883   		534   		1846  		736   		1141  		
2326  		11026 		2150  		597   		1341  		
1122  		8093  		982   		2951  		224   		
603   		4625  		824   		351   		1483  		
26506 		898   		4119  		305   		2565  		
489   		1561  		5759  		3463  		14864 		
520   		3893  		2564  		6531  		898   		
376   		725   		889   		806   		3178  		
3583  		1507  		1930  		488   		979   		
1669  		604   		1391  		4085  		2721  		
2068  		3294  		3715  		9549  		2107  		
22004 		1185  		2634  		916   		1013  		
1952  		16341 		3118  		3583  		1963  		
1812  		1085  		7446  		1574  		2647  		
1138  		5789  		4888  		1079  		9964  		
6923  		5800  		491   		2530  		5031  		
311   		1058  		2399  		446   		740   		
671   		133   		1681  		4629  		5549  		
217   		1129  		1069  		1343  		763   		
1555  		3361  		519   		630   		1620  		
1695  		815   		871   		4442  		761   		
4187  		1135  		1691  		692   		5287  		
1081  		8479  		17874 		933   		508   		
5732  		687   		509   		3627  		1761  		
820   		1528  		4916  		203   		1467  		
602   		665   		3309  		2012  		242   		
28995 		878   		247   		26536 		10799 		
1145  		1161  		2218  		844   		667   		
17018 		4600  		966   		2134  		694   		
10171 		245   		562   		10990 		1904  		
810   		265   		2249  		434   		1783  		
4558  		836   		9169  		559   		2059  		
5403  		2652  		14884 		4036  		469   		
595   		739   		1800  		2418  		14755 		
298   		2012  		2136  		5368  		2007  		
4610  		481   		823   		5637  		1238  		
475   		160   		2680  		2397  		1780  		
2604  		281   		675   		16593 		422   		
4447  		6175  		1908  		621   		775   		
1634  		170   		841   		1524  		348   		
2394  		11322 		3339  		1425  		261   		
1188  		639   		3361  		1156  		338   		
2118  		2958  		14937 		2223  		811   		
5357  		135   		1807  		257   		2199  		
29107 		475   		1251  		12466 		1151  		
7960  		475   		1956  		1188  		3863  		
345   		26546 		18987 		897   		1884  		
760   		2669  		205   		5239  		253   		
9798  		1875  		5345  		16024 		24491 		
3620  		4475  		10184 		444   		949   		
902   		323   		1749  		4034  		50152 		
279   		5824  		1334  		1315  		783   		
5364  		3399  		301   		804   		2754  		
1218  		16065 		9769  		1541  		3498  		
856   		776821		2300  		23122 		2859  		
2089  		928   		341   		892   		9918  		
1348  		11603 		3152  		9559  		5234  		
294   		510   		3349  		776   		6634  		
805   		1134  		470   		3975  		856   		
1749  		540   		15234 		1241  		5908  		
835   		8913  		1905  		7167  		207   		
2400  		1301  		2033  		1499  		2028  		
342   		6485  		3781  		797   		360   		
590   		1665  		1911  		654   		884   		
493   		1059  		9020  		2446  		3573  		
6457  		10845 		2220  		7418  		3111  		
668   		1101  		2031  		2345  		200732		
5124  		899   		821   		8761  		2246  		
1185  		925   		405   		17270 		501   		
940   		1781  		2595  		859   		966   		
871   		5156  		440   		733   		514   		
913   		3022  		3697  		714   		4048  		
9687  		3880  		2163  		1513  		650   		
1905  		1506  		720   		2044  		4753  		
2222  		478   		4313  		1891  		1184  		
1980  		561   		2091  		1513355		14329 		
8112  		159   		1341  		4225  		1967  		
691   		1196  		1492  		382   		7663  		
3337  		2582  		1798  		144   		489   		
615   		1677  		423   		788   		445   		
2696  		721   		915   		1870  		1018  		
3155  		4290  		634   		298   		4843  		
405   		1026  		1629  		2869  		369   		
434   		54388 		451   		3097  		1782  		
432   		622   		177   		2863  		3610  		
6648  		885   		412   		5525  		3539  		
1209  		17572 		270   		1667  		3582  		
15493 		5731  		834   		3839  		4915  		
7876  		528   		21873 		2901  		12478 		
10428 		3589  		398   		1828  		3036  		
4617  		13999 		1387  		676   		3689  		
379   		1670  		318   		3803  		3689  		
637   		2215  		793   		4556  		204   		
1710  		3827  		1253  		1985  		928   		
2308  		385   		1158  		1941  		11505 		
511   		502   		6052  		16765 		3035  		
5676  		1395  		405   		12353 		455   		
626   		4790  		1492  		766253		1191  		
1015  		619   		770   		600   		3220  		
3182  		18109 		1251  		3104  		3030  		
593   		500   		2928  		1917  		385   		
572   		1702  		52678 		1360  		901   		
2395  		973   		3460  		4321  		677   		
2027  		9363  		779   		6203  		559   		
1810  		3688  		943   		1848  		794   		
3766  		1777  		234   		12986 		3123  		
454   		1141  		9947  		568   		632   		
1180  		937   		16456 		660   		1209  		
4270  		1435  		22479 		1080  		14316 		
579   		35508 		3434  		15063 		395   		
543   		342   		975   		6803  		40384 		
960   		7059  		10560 		3365  		5170  		
2017  		1788  		2779  		14031 		1023  		
2493  		2656  		7543  		1958  		1340  		
767   		10511 		419   		265   		624   		
861   		4142  		2738  		512   		387   		
645   		417   		699   		598   		384   		
6156  		989   		4238  		18265 		917   		
4522  		41932 		2711  		1902  		256   		
1235  		8787  		3518  		3206  		2723  		
955   		1421  		9892  		642   		7458  		
6834  		6934  		344   		1122  		10270 		
979   		988   		5805  		1056  		10961 		
1408  		607   		1937  		1478  		601   		
3400  		1273  		1243  		889   		6925  		
4320  		3581  		476   		769   		3147  		
875   		1809  		3306  		4336  		1606  		
1021  		2845  		1217  		3665  		868   		
5809  		456   		242   		488   		415   		
1498  		676   		495   		6023  		3235  		
1550  		1757  		986   		948   		2101  		
12755 		801   		3622  		1052  		3335  		
1927  		2246  		1354  		655   		5707  		
563   		321   		695   		1348  		3970  		
6369  		4975  		1253  		11410 		1485  		
1809  		1127  		798   		20385 		3027  		
12431 		2901  		1894  		845   		396   		
359   		3246  		802   		1377  		11459 		
738   		2264  		1189  		3244  		896   		
4056  		27445 		3046  		844   		742   		
4911  		1175  		773   		464   		25477 		
4497  		1038  		2665  		21676 		894   		
1080  		3330  		1702  		805   		1222  		
2287  		347   		18875 		1485  		7753  		
1085  		2417  		4344  		2336  		2930  		
395   		137   		291   		1310  		1406  		
524   		18288 		1894  		1221  		600   		
4878  		2944  		994   		798   		3017  		
